21/09/2013 03:09:00.287] - [INFO] - [id: 0x8b3e2318] OPEN
21/09/2013 03:09:00.299] - [INFO] - [id: 0x8b3e2318, /127.0.0.1:2525 => localhost/127.0.0.1:19999] BOUND: /127.0.0.1:2525
21/09/2013 03:09:00.301] - [INFO] - [id: 0x8b3e2318, /127.0.0.1:2525 => localhost/127.0.0.1:19999] CONNECTED: localhost/127.0.0.1:19999
21/09/2013 03:09:31.497] - [INFO] - message sent: took 1,953,537
21/09/2013 03:09:31.844] - [INFO] - message sent: took 3,426,084
21/09/2013 03:09:32.192] - [INFO] - message sent: took 1,819,005
21/09/2013 03:09:32.539] - [INFO] - message sent: took 2,697,104
21/09/2013 03:09:32.884] - [INFO] - message sent: took 1,824,273
21/09/2013 03:09:33.231] - [INFO] - message sent: took 2,088,473
21/09/2013 03:09:33.578] - [INFO] - message sent: took 2,178,430
21/09/2013 03:09:33.925] - [INFO] - message sent: took 2,499,360
21/09/2013 03:09:34.271] - [INFO] - message sent: took 2,020,397
21/09/2013 03:09:34.617] - [INFO] - message sent: took 3,675,696
21/09/2013 03:09:34.963] - [INFO] - message sent: took 1,765,112
21/09/2013 03:09:35.310] - [INFO] - message sent: took 2,223,409
21/09/2013 03:09:35.655] - [INFO] - message sent: took 2,617,682
21/09/2013 03:09:36.002] - [INFO] - message sent: took 2,151,686
21/09/2013 03:09:36.347] - [INFO] - message sent: took 2,488,824
21/09/2013 03:09:36.694] - [INFO] - message sent: took 2,141,151
21/09/2013 03:09:37.040] - [INFO] - message sent: took 1,689,337
21/09/2013 03:09:37.388] - [INFO] - message sent: took 3,236,039
21/09/2013 03:09:37.732] - [INFO] - message sent: took 2,147,228
21/09/2013 03:09:38.077] - [INFO] - message sent: took 2,350,241
21/09/2013 03:09:38.421] - [INFO] - message sent: took 1,769,974
21/09/2013 03:09:38.768] - [INFO] - message sent: took 2,322,281
21/09/2013 03:09:39.114] - [INFO] - message sent: took 1,756,602
21/09/2013 03:09:39.472] - [INFO] - message sent: took 14,127,379
21/09/2013 03:09:39.816] - [INFO] - message sent: took 2,441,009
21/09/2013 03:09:40.199] - [INFO] - message sent: took 3,538,734
21/09/2013 03:09:40.548] - [INFO] - message sent: took 2,201,933
21/09/2013 03:09:40.892] - [INFO] - message sent: took 2,160,196
21/09/2013 03:09:41.237] - [INFO] - message sent: took 2,945,906
21/09/2013 03:09:41.581] - [INFO] - message sent: took 1,600,595
21/09/2013 03:09:41.931] - [INFO] - message sent: took 4,363,749
21/09/2013 03:09:42.274] - [INFO] - message sent: took 2,130,210
21/09/2013 03:09:42.618] - [INFO] - message sent: took 2,667,524
21/09/2013 03:09:42.966] - [INFO] - message sent: took 3,830,082
21/09/2013 03:09:43.311] - [INFO] - message sent: took 2,703,587
21/09/2013 03:09:43.659] - [INFO] - message sent: took 3,131,899
21/09/2013 03:09:44.005] - [INFO] - message sent: took 4,029,853
21/09/2013 03:09:44.348] - [INFO] - message sent: took 2,331,196
21/09/2013 03:09:44.699] - [INFO] - message sent: took 4,839,066
21/09/2013 03:09:45.044] - [INFO] - message sent: took 1,592,086
21/09/2013 03:09:45.393] - [INFO] - message sent: took 4,918,082
21/09/2013 03:09:45.741] - [INFO] - message sent: took 4,132,372
21/09/2013 03:09:46.100] - [INFO] - message sent: took 16,013,651
21/09/2013 03:09:46.446] - [INFO] - message sent: took 4,106,033
21/09/2013 03:09:46.790] - [INFO] - message sent: took 1,665,429
21/09/2013 03:09:47.135] - [INFO] - message sent: took 1,615,994
21/09/2013 03:09:47.482] - [INFO] - message sent: took 2,451,950
21/09/2013 03:09:47.828] - [INFO] - message sent: took 3,133,519
21/09/2013 03:09:48.199] - [INFO] - message sent: took 1,893,565
21/09/2013 03:09:48.543] - [INFO] - message sent: took 1,596,138
21/09/2013 03:09:48.889] - [INFO] - message sent: took 2,093,740
21/09/2013 03:09:49.236] - [INFO] - message sent: took 2,316,608
21/09/2013 03:09:49.582] - [INFO] - message sent: took 4,163,574
21/09/2013 03:09:49.929] - [INFO] - message sent: took 3,151,349
21/09/2013 03:09:50.275] - [INFO] - message sent: took 2,857,164
21/09/2013 03:09:50.619] - [INFO] - message sent: took 1,991,222
21/09/2013 03:09:50.965] - [INFO] - message sent: took 2,129,805
21/09/2013 03:09:51.311] - [INFO] - message sent: took 1,794,693
21/09/2013 03:09:51.658] - [INFO] - message sent: took 3,636,391
21/09/2013 03:09:52.002] - [INFO] - message sent: took 1,699,062
21/09/2013 03:09:52.351] - [INFO] - message sent: took 2,610,388
21/09/2013 03:09:52.696] - [INFO] - message sent: took 1,276,830
21/09/2013 03:09:53.046] - [INFO] - message sent: took 2,667,523
21/09/2013 03:09:53.391] - [INFO] - message sent: took 2,613,630
21/09/2013 03:09:53.740] - [INFO] - message sent: took 2,908,626
21/09/2013 03:09:54.083] - [INFO] - message sent: took 1,671,102
21/09/2013 03:09:54.429] - [INFO] - message sent: took 2,032,554
21/09/2013 03:09:54.777] - [INFO] - message sent: took 2,100,224
21/09/2013 03:09:55.123] - [INFO] - message sent: took 1,669,481
21/09/2013 03:09:55.469] - [INFO] - message sent: took 2,161,411
21/09/2013 03:09:55.815] - [INFO] - message sent: took 1,682,448
21/09/2013 03:09:56.161] - [INFO] - message sent: took 1,404,066
21/09/2013 03:09:56.529] - [INFO] - message sent: took 21,420,826
21/09/2013 03:09:56.872] - [INFO] - message sent: took 1,677,181
21/09/2013 03:09:57.217] - [INFO] - message sent: took 1,774,432
21/09/2013 03:09:57.562] - [INFO] - message sent: took 1,680,017
21/09/2013 03:09:57.909] - [INFO] - message sent: took 5,765,385
21/09/2013 03:09:58.256] - [INFO] - message sent: took 3,110,827
21/09/2013 03:09:58.602] - [INFO] - message sent: took 2,426,016
21/09/2013 03:09:58.946] - [INFO] - message sent: took 1,418,249
21/09/2013 03:09:59.292] - [INFO] - message sent: took 2,469,374
21/09/2013 03:09:59.640] - [INFO] - message sent: took 1,731,480
21/09/2013 03:09:59.987] - [INFO] - message sent: took 2,173,568
21/09/2013 03:10:00.323] - [INFO] - message sent: took 1,055,583
21/09/2013 03:10:00.668] - [INFO] - message sent: took 1,723,375
21/09/2013 03:10:01.014] - [INFO] - message sent: took 1,691,768
21/09/2013 03:10:01.353] - [INFO] - message sent: took 1,096,914
21/09/2013 03:10:01.698] - [INFO] - message sent: took 1,640,307
21/09/2013 03:10:02.044] - [INFO] - message sent: took 1,644,763
21/09/2013 03:10:02.403] - [INFO] - message sent: took 1,158,102
21/09/2013 03:10:02.749] - [INFO] - message sent: took 5,892,216
21/09/2013 03:10:03.096] - [INFO] - message sent: took 2,111,975
21/09/2013 03:10:03.438] - [INFO] - message sent: took 1,669,887
21/09/2013 03:10:03.779] - [INFO] - message sent: took 2,237,591
21/09/2013 03:10:04.124] - [INFO] - message sent: took 1,686,095
21/09/2013 03:10:04.469] - [INFO] - message sent: took 1,658,135
21/09/2013 03:10:04.815] - [INFO] - message sent: took 2,017,155
21/09/2013 03:10:05.157] - [INFO] - message sent: took 1,985,549
21/09/2013 03:10:05.503] - [INFO] - message sent: took 2,462,080
21/09/2013 03:10:05.848] - [INFO] - message sent: took 1,962,046
21/09/2013 03:10:06.189] - [INFO] - message sent: took 1,670,697
21/09/2013 03:10:06.533] - [INFO] - message sent: took 1,656,919
21/09/2013 03:10:06.879] - [INFO] - message sent: took 3,691,905
21/09/2013 03:10:07.222] - [INFO] - message sent: took 1,720,944
21/09/2013 03:10:07.569] - [INFO] - message sent: took 2,589,723
21/09/2013 03:10:07.914] - [INFO] - message sent: took 1,190,924
21/09/2013 03:10:08.260] - [INFO] - message sent: took 2,652,936
21/09/2013 03:10:08.606] - [INFO] - message sent: took 3,739,315
21/09/2013 03:10:08.951] - [INFO] - message sent: took 2,083,610
21/09/2013 03:10:09.295] - [INFO] - message sent: took 2,778,552
21/09/2013 03:10:09.639] - [INFO] - message sent: took 1,664,619
21/09/2013 03:10:09.984] - [INFO] - message sent: took 1,569,393
21/09/2013 03:10:10.328] - [INFO] - message sent: took 1,753,361
21/09/2013 03:10:10.673] - [INFO] - message sent: took 1,605,863
21/09/2013 03:10:11.018] - [INFO] - message sent: took 1,704,330
21/09/2013 03:10:11.364] - [INFO] - message sent: took 2,201,528
21/09/2013 03:10:11.710] - [INFO] - message sent: took 2,726,684
21/09/2013 03:10:12.056] - [INFO] - message sent: took 2,804,081
21/09/2013 03:10:12.402] - [INFO] - message sent: took 2,591,748
21/09/2013 03:10:12.747] - [INFO] - message sent: took 2,525,699
21/09/2013 03:10:13.094] - [INFO] - message sent: took 1,660,567
21/09/2013 03:10:13.440] - [INFO] - message sent: took 2,239,618
21/09/2013 03:10:13.785] - [INFO] - message sent: took 2,101,844
21/09/2013 03:10:14.130] - [INFO] - message sent: took 2,314,582
21/09/2013 03:10:14.476] - [INFO] - message sent: took 2,663,471
21/09/2013 03:10:14.823] - [INFO] - message sent: took 2,872,967
21/09/2013 03:10:15.170] - [INFO] - message sent: took 3,742,151
21/09/2013 03:10:15.515] - [INFO] - message sent: took 1,612,752
21/09/2013 03:10:15.863] - [INFO] - message sent: took 2,710,071
21/09/2013 03:10:16.209] - [INFO] - message sent: took 1,154,860
21/09/2013 03:10:16.555] - [INFO] - message sent: took 2,195,855
21/09/2013 03:10:16.899] - [INFO] - message sent: took 2,274,871
21/09/2013 03:10:17.243] - [INFO] - message sent: took 2,077,937
21/09/2013 03:10:17.588] - [INFO] - message sent: took 1,223,746
21/09/2013 03:10:17.933] - [INFO] - message sent: took 2,436,957
21/09/2013 03:10:18.277] - [INFO] - message sent: took 1,222,126
21/09/2013 03:10:18.624] - [INFO] - message sent: took 4,112,516
21/09/2013 03:10:18.968] - [INFO] - message sent: took 1,641,927
21/09/2013 03:10:19.314] - [INFO] - message sent: took 1,943,406
21/09/2013 03:10:19.658] - [INFO] - message sent: took 2,056,461
21/09/2013 03:10:20.004] - [INFO] - message sent: took 2,174,784
21/09/2013 03:10:20.349] - [INFO] - message sent: took 1,135,005
21/09/2013 03:10:20.695] - [INFO] - message sent: took 2,333,627
21/09/2013 03:10:21.040] - [INFO] - message sent: took 2,221,383
21/09/2013 03:10:21.386] - [INFO] - message sent: took 2,102,250
21/09/2013 03:10:21.730] - [INFO] - message sent: took 1,656,515
21/09/2013 03:10:22.075] - [INFO] - message sent: took 1,598,974
21/09/2013 03:10:22.420] - [INFO] - message sent: took 1,704,735
21/09/2013 03:10:22.765] - [INFO] - message sent: took 1,596,137
21/09/2013 03:10:23.111] - [INFO] - message sent: took 2,624,976
21/09/2013 03:10:23.456] - [INFO] - message sent: took 2,169,921
21/09/2013 03:10:23.802] - [INFO] - message sent: took 1,981,091
21/09/2013 03:10:24.192] - [INFO] - message sent: took 2,426,016
21/09/2013 03:10:24.538] - [INFO] - message sent: took 2,162,627
21/09/2013 03:10:24.881] - [INFO] - message sent: took 2,603,095
21/09/2013 03:10:25.227] - [INFO] - message sent: took 1,667,861
21/09/2013 03:10:25.573] - [INFO] - message sent: took 2,812,995
21/09/2013 03:10:25.917] - [INFO] - message sent: took 1,589,654
21/09/2013 03:10:26.262] - [INFO] - message sent: took 1,819,411
21/09/2013 03:10:26.608] - [INFO] - message sent: took 2,277,302
21/09/2013 03:10:26.953] - [INFO] - message sent: took 1,639,901
21/09/2013 03:10:27.297] - [INFO] - message sent: took 1,737,963
21/09/2013 03:10:27.642] - [INFO] - message sent: took 2,518,000
21/09/2013 03:10:27.988] - [INFO] - message sent: took 1,583,577
21/09/2013 03:10:28.333] - [INFO] - message sent: took 2,388,737
21/09/2013 03:10:28.677] - [INFO] - message sent: took 1,588,844
21/09/2013 03:10:29.022] - [INFO] - message sent: took 2,748,971
21/09/2013 03:10:29.369] - [INFO] - message sent: took 1,373,271
21/09/2013 03:10:29.715] - [INFO] - message sent: took 2,297,158
21/09/2013 03:10:30.060] - [INFO] - message sent: took 1,143,108
21/09/2013 03:10:30.401] - [INFO] - message sent: took 2,601,879
21/09/2013 03:10:30.742] - [INFO] - message sent: took 1,349,768
21/09/2013 03:10:31.088] - [INFO] - message sent: took 3,811,038
21/09/2013 03:10:31.432] - [INFO] - message sent: took 1,593,707
21/09/2013 03:10:31.778] - [INFO] - message sent: took 2,689,811
21/09/2013 03:10:32.124] - [INFO] - message sent: took 2,137,909
21/09/2013 03:10:32.468] - [INFO] - message sent: took 2,060,513
21/09/2013 03:10:32.813] - [INFO] - message sent: took 1,582,766
21/09/2013 03:10:33.161] - [INFO] - message sent: took 1,951,105
21/09/2013 03:10:33.508] - [INFO] - message sent: took 2,834,877
21/09/2013 03:10:33.853] - [INFO] - message sent: took 2,395,220
21/09/2013 03:10:34.197] - [INFO] - message sent: took 1,664,213
21/09/2013 03:10:34.542] - [INFO] - message sent: took 2,194,233
21/09/2013 03:10:34.885] - [INFO] - message sent: took 1,643,548
21/09/2013 03:10:35.232] - [INFO] - message sent: took 3,236,039
21/09/2013 03:10:35.575] - [INFO] - message sent: took 2,787,062
21/09/2013 03:10:35.921] - [INFO] - message sent: took 2,355,508
21/09/2013 03:10:36.268] - [INFO] - message sent: took 2,282,165
21/09/2013 03:10:36.613] - [INFO] - message sent: took 1,632,201
21/09/2013 03:10:36.958] - [INFO] - message sent: took 1,951,511
21/09/2013 03:10:37.303] - [INFO] - message sent: took 1,566,963
21/09/2013 03:10:37.649] - [INFO] - message sent: took 1,664,214
21/09/2013 03:10:37.995] - [INFO] - message sent: took 2,823,126
21/09/2013 03:10:38.340] - [INFO] - message sent: took 1,575,877
21/09/2013 03:10:38.685] - [INFO] - message sent: took 3,126,631
21/09/2013 03:10:39.030] - [INFO] - message sent: took 1,139,056
21/09/2013 03:10:39.376] - [INFO] - message sent: took 3,052,882
21/09/2013 03:10:39.717] - [INFO] - message sent: took 1,099,346
21/09/2013 03:10:40.062] - [INFO] - message sent: took 2,062,134
21/09/2013 03:10:40.406] - [INFO] - message sent: took 1,575,877
21/09/2013 03:10:40.749] - [INFO] - message sent: took 1,198,217
21/09/2013 03:10:41.093] - [INFO] - message sent: took 2,526,509
21/09/2013 03:10:41.437] - [INFO] - message sent: took 2,729,927
21/09/2013 03:10:41.780] - [INFO] - message sent: took 1,673,939
21/09/2013 03:10:42.124] - [INFO] - message sent: took 2,660,229
21/09/2013 03:10:42.468] - [INFO] - message sent: took 1,386,237
21/09/2013 03:10:42.814] - [INFO] - message sent: took 2,064,160
21/09/2013 03:10:43.161] - [INFO] - message sent: took 966,841
21/09/2013 03:10:43.506] - [INFO] - message sent: took 2,156,549
21/09/2013 03:10:43.851] - [INFO] - message sent: took 1,631,797
21/09/2013 03:10:44.198] - [INFO] - message sent: took 4,772,610
21/09/2013 03:10:44.543] - [INFO] - message sent: took 3,718,649
21/09/2013 03:10:44.892] - [INFO] - message sent: took 5,343,962
21/09/2013 03:10:45.238] - [INFO] - message sent: took 2,047,546
21/09/2013 03:10:45.585] - [INFO] - message sent: took 2,125,752
21/09/2013 03:10:45.927] - [INFO] - message sent: took 1,550,754
21/09/2013 03:10:46.273] - [INFO] - message sent: took 4,018,101
21/09/2013 03:10:46.617] - [INFO] - message sent: took 1,119,201
21/09/2013 03:10:46.963] - [INFO] - message sent: took 2,596,206
21/09/2013 03:10:47.309] - [INFO] - message sent: took 3,238,875
21/09/2013 03:10:47.654] - [INFO] - message sent: took 3,721,890
21/09/2013 03:10:48.000] - [INFO] - message sent: took 3,418,790
21/09/2013 03:10:48.348] - [INFO] - message sent: took 3,620,992
21/09/2013 03:10:48.693] - [INFO] - message sent: took 1,628,960
21/09/2013 03:10:49.036] - [INFO] - message sent: took 1,632,607
21/09/2013 03:10:49.380] - [INFO] - message sent: took 1,600,595
21/09/2013 03:10:49.725] - [INFO] - message sent: took 1,607,484
21/09/2013 03:10:50.069] - [INFO] - message sent: took 1,608,700
21/09/2013 03:10:50.413] - [INFO] - message sent: took 1,809,686
21/09/2013 03:10:50.759] - [INFO] - message sent: took 1,995,679
21/09/2013 03:10:51.106] - [INFO] - message sent: took 1,979,876
21/09/2013 03:10:51.450] - [INFO] - message sent: took 1,490,377
21/09/2013 03:10:51.811] - [INFO] - message sent: took 17,352,477
21/09/2013 03:10:52.154] - [INFO] - message sent: took 1,487,135
21/09/2013 03:10:52.499] - [INFO] - message sent: took 2,851,490
21/09/2013 03:10:52.852] - [INFO] - message sent: took 11,720,814
21/09/2013 03:10:53.196] - [INFO] - message sent: took 2,343,758
21/09/2013 03:10:53.543] - [INFO] - message sent: took 2,282,571
21/09/2013 03:10:53.889] - [INFO] - message sent: took 4,054,166
21/09/2013 03:10:54.234] - [INFO] - message sent: took 2,772,879
21/09/2013 03:10:54.579] - [INFO] - message sent: took 1,746,878
21/09/2013 03:10:54.924] - [INFO] - message sent: took 2,455,192
21/09/2013 03:10:55.269] - [INFO] - message sent: took 1,657,325
21/09/2013 03:10:55.614] - [INFO] - message sent: took 1,601,405
21/09/2013 03:10:55.960] - [INFO] - message sent: took 1,613,562
21/09/2013 03:10:56.306] - [INFO] - message sent: took 2,094,551
21/09/2013 03:10:56.650] - [INFO] - message sent: took 2,161,006
21/09/2013 03:10:56.994] - [INFO] - message sent: took 2,733,574
21/09/2013 03:10:57.339] - [INFO] - message sent: took 1,977,444
21/09/2013 03:10:57.682] - [INFO] - message sent: took 1,953,131
21/09/2013 03:10:58.029] - [INFO] - message sent: took 3,129,468
21/09/2013 03:10:58.373] - [INFO] - message sent: took 2,120,890
21/09/2013 03:10:58.718] - [INFO] - message sent: took 2,397,246
21/09/2013 03:10:59.062] - [INFO] - message sent: took 1,583,171
21/09/2013 03:10:59.409] - [INFO] - message sent: took 2,943,069
21/09/2013 03:10:59.781] - [INFO] - message sent: took 5,706,224
21/09/2013 03:11:00.141] - [INFO] - message sent: took 1,642,737
21/09/2013 03:11:00.487] - [INFO] - message sent: took 1,261,431
21/09/2013 03:11:00.828] - [INFO] - message sent: took 1,594,922
21/09/2013 03:11:01.172] - [INFO] - message sent: took 1,576,282
21/09/2013 03:11:01.516] - [INFO] - message sent: took 1,661,377
21/09/2013 03:11:01.862] - [INFO] - message sent: took 1,564,936
21/09/2013 03:11:02.208] - [INFO] - message sent: took 1,915,851
21/09/2013 03:11:02.552] - [INFO] - message sent: took 1,556,832
21/09/2013 03:11:02.898] - [INFO] - message sent: took 1,736,748
21/09/2013 03:11:03.244] - [INFO] - message sent: took 1,659,351
21/09/2013 03:11:03.587] - [INFO] - message sent: took 1,582,360
21/09/2013 03:11:03.958] - [INFO] - message sent: took 1,898,833
21/09/2013 03:11:04.301] - [INFO] - message sent: took 1,491,188
21/09/2013 03:11:04.667] - [INFO] - message sent: took 1,326,266
21/09/2013 03:11:05.007] - [INFO] - message sent: took 1,190,518
21/09/2013 03:11:05.342] - [INFO] - message sent: took 1,008,577
21/09/2013 03:11:05.687] - [INFO] - message sent: took 1,666,645
21/09/2013 03:11:06.031] - [INFO] - message sent: took 1,586,818
21/09/2013 03:11:06.377] - [INFO] - message sent: took 5,348,014
21/09/2013 03:11:06.725] - [INFO] - message sent: took 3,520,499
21/09/2013 03:11:07.070] - [INFO] - message sent: took 1,487,135
21/09/2013 03:11:07.416] - [INFO] - message sent: took 1,506,585
21/09/2013 03:11:07.757] - [INFO] - message sent: took 2,028,906
21/09/2013 03:11:08.101] - [INFO] - message sent: took 1,145,945
21/09/2013 03:11:08.446] - [INFO] - message sent: took 2,277,707
21/09/2013 03:11:08.804] - [INFO] - message sent: took 19,605,063
21/09/2013 03:11:09.149] - [INFO] - message sent: took 1,479,842
21/09/2013 03:11:09.494] - [INFO] - message sent: took 1,297,090
21/09/2013 03:11:09.844] - [INFO] - message sent: took 4,133,993
21/09/2013 03:11:10.189] - [INFO] - message sent: took 1,631,392
21/09/2013 03:11:10.539] - [INFO] - message sent: took 1,513,879
21/09/2013 03:11:10.885] - [INFO] - message sent: took 1,713,649
21/09/2013 03:11:11.222] - [INFO] - message sent: took 893,902
21/09/2013 03:11:11.571] - [INFO] - message sent: took 1,464,849
21/09/2013 03:11:11.918] - [INFO] - message sent: took 3,429,326
21/09/2013 03:11:12.275] - [INFO] - message sent: took 1,767,138
21/09/2013 03:11:12.617] - [INFO] - message sent: took 1,536,571
21/09/2013 03:11:12.963] - [INFO] - message sent: took 1,337,206
21/09/2013 03:11:13.309] - [INFO] - message sent: took 1,404,471
21/09/2013 03:11:13.656] - [INFO] - message sent: took 2,703,993
21/09/2013 03:11:14.002] - [INFO] - message sent: took 1,441,346
21/09/2013 03:11:14.351] - [INFO] - message sent: took 1,444,183
21/09/2013 03:11:14.699] - [INFO] - message sent: took 1,590,060
21/09/2013 03:11:15.045] - [INFO] - message sent: took 1,337,612
21/09/2013 03:11:15.500] - [INFO] - message sent: took 4,508,411
21/09/2013 03:11:15.846] - [INFO] - message sent: took 1,443,778
21/09/2013 03:11:16.192] - [INFO] - message sent: took 1,379,348
21/09/2013 03:11:16.537] - [INFO] - message sent: took 1,731,480
21/09/2013 03:11:16.883] - [INFO] - message sent: took 1,283,312
21/09/2013 03:11:17.229] - [INFO] - message sent: took 1,438,915
21/09/2013 03:11:17.574] - [INFO] - message sent: took 1,436,078
21/09/2013 03:11:17.919] - [INFO] - message sent: took 1,459,580
21/09/2013 03:11:18.266] - [INFO] - message sent: took 3,318,703
21/09/2013 03:11:18.614] - [INFO] - message sent: took 2,507,464
21/09/2013 03:11:18.957] - [INFO] - message sent: took 1,639,090
